Name,Review_Date,Review,Owner_Response,Response_Date,Response
Jasir Jazi,3 months ago,"My team and I visited AB's BTM Layout with over 40 people. We enjoyed the food and atmosphere, but the next day, six of us, including me, got food poisoning. I suffered for seven days. The store manager promised to send the GST invoice via …",Response from the owner,3 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the bad experience, would request you to share your mobile no & name with this ticket id -(  ZLCT-388179   ) on …"
MOHAMMED FAREED,a month ago,"Not worth for the money charged..
Very less varities in desert.When we went to take desserts it's already finished.i came back with empty plate and took ice cream. …",Response from the owner,a month ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the bad experience, would request you to share your mobile no & name with this ticket id -(  ZLCT-390772   ) on …"
Rakesh meshua,a month ago,"""A Culinary Nightmare - Avoid at All Costs!""

I regret every moment I spent at Absolute Barbeque. From the moment I walked in, …",Response from the owner,a month ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the bad experience, would request you to share your mobile no & name with this ticket id -(   ZLCT-390413 ) on …"
Harinadha reddy kakarla,4 days ago,"We have visited last sunday 13.10.2024 at 2.00pm, i experienced a worst and worst situation which i have not at any. We waited 15min to get drinking water after asking many times like beggers while we were thirsty, We have paid 899+gst for …",Response from the owner,4 days ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the bad experience, would request you to share your mobile no & name with this ticket id -(   ZLCT-391734  ) on …"
Yaseen A,3 months ago,The quality of the starters is definitely below par. The rest of it is average. Desserts were limited and awful tasting. Saw a cockroach go around the main dishes. Hygiene is compromised. Try something else. It's lost its charm.,Response from the owner,3 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the bad experience, would request you to share your mobile no & name with this ticket id -(  ZLCT-388247   ) on …"
Likhit K,2 years ago,"Very disappointed with the food . The starters felt stale and the chicken felt like frozen meat with no marination. Service was good but sometimes can't understand what they speak, maybe because of mask(thanks covid!). No beverage …",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
jaswanth royal,2 months ago,"The worst food in a hotel often includes dishes that are poorly prepared, lack flavor, and low-quality deserts that are disappointing coming to service Poor service that totally ruin a dining experience. This include slow and inattentive waitstaff,  mistakes in orders, and a lack of professionalism. overall experience is unpleasant.",Response from the owner,2 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the bad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-389055) on …"
Sagar Srivastava,3 months ago,"Visited July 3rd 2024, worst experience.
Waste of money & time.
Starters never came, nobody to answer live counter. Main course was empty. …",Response from the owner,3 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the bad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-387176) on …"
Sunayana Dongre,2 weeks ago,They don't provide proper service and the food is also not good none of the dishes were tasty they don't have much variety and they don't even have variety in desserts. Very disappointed,Response from the owner,2 weeks ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the bad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-391446) on …"
Kiran Mailapalli,4 months ago,Their maintenance is very low. Food is ok ok. Service is not good.,Response from the owner,4 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-382870) on …"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
PRADEEP KUMAR K N,2 months ago,The quality of the starters is definitely below par. The rest of it is average. Desserts were limited and awful tasting Hygiene is compromised. Try something else. It's lost its charm.,Response from the owner,2 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the bad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-388570) on …"
