Name,Review_Date,Review,Owner_Response,Response_Date,Response
Pramod Kumar,6 months ago,"Stop eating at this place, I have visited bangalores, nd punes AB but this Hyderabad Gachibowlis one was the worst . First of all no cleanliness, food items were stale nd sorry to say third class crowd over there. Got cockroach in my muffin, here is the proof..",,,
abhinav deep,a year ago,"Food 2/5
Service 2/5
Ambience 2/5 …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-282489) on …"
Vijay Nammi,a month ago,"Idiotic varieties for the price they have charged. 90% of the varieties are of boiler chicken. Grilled kebabs were precooked, hence lacking the soft texture and no taste. …",,,
surya ajay,a year ago,"I am posting this live now, this is one of the worst places DONT VISIT, very pathetic service and very worst food. Ever after 1 hour of the request your requested food will not be served .You will not get service nor food. Very pathetic …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Sai Hithesh,6 months ago,"We are pure vegetarians, I ordered veg biryani from swiggy, I got mutton bone in my biryani. What the hell is this.",,,
armaan akhter,a week ago,waste management they gave us time 3.30 PM @Gachibowli Branch when our family reached they are saying just now kitchen is closed they didnt informed Us . manager also not spokd properly disgusting guy dont no manners also .waste management …,,,
Babu Rajan,2 years ago,"Absolute barbecue lost its jewel, it's one of the nice place to have get together in past. As we see all smiling faces and serve with taste and respect,no more you can expect taste but still respect is left out. It more now a commercial …",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Vrushali O,2 years ago,"3rd grade hygiene! This place is nothing but disgusting! The plates had stains of food. ALL plates. The food was stale and smelling. When we informed the Manager, Vishal Patiala, of the same he was extremely rude and didn’t even accept that …",Response from the owner,2 years ago,"Hi,

We regret the inconveniences you have faced and request you to share your …"
Keshav Akkineni,3 months ago,"The food was not good at all. The plates, spoons and bowls were not cleaned properly, the stains & the oil are clearly visible. Worst buffet experience ever. The other AB's branches are good but this branch is pathetic. Never visiting this place again.",,,
Pramod Madooru,2 years ago,"Very very worst experience, we went for team lunch nearly 60 people., not eve a single person got satisfied and we decided not to go next time and tell to friends not to Go to Absolute Barbecues Gachibowli for the lifetime. They provided …",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Venkata Ramana Reddy,2 years ago,We didn’t have a good time in Barbeque the last time we visited for birthday lunch. They have served very few starters and we had to look for self service stations for other options. They I have requested multiple times for grilled items they were making excuses and asked us to not mind and still requested for a positive feedback.,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Stuti Goyal,2 months ago,"Poor service. Visited today and found worst service. They didn't even serve the starters. There was no one to cater . Fo vegetarians, it's a waste of time. Please don't waste your time and money.",,,
M. Gopi Krishna,2 months ago,AB's quality of food is decreased completely. Also they are not serving the food. We asked multiple times but all types of starters were not served.,,,
Prasanth Demn,3 years ago,"Safety measures were not followed. Seems like they have given up on customer's health.
No temperature check or mask check. …",,,
HARISH KANTIMAHANTI,3 weeks ago,Pathetic service. No coordination at all between online and offline booking. Had to wait for 45 minutes from my actual booking time. Kids were starving. If u don’t have slots don’t allot fake slots,,,
Sanjeev Singh,4 months ago,Recently ordered a non-veg thali from Absolute Barbecue and was utterly disappointed with the experience. …,,,
SDR Electric Private Limited,2 months ago,"We recived wrost food from this place
I ordered 498 rupees non-veg platers totally fully black  boiled food  so at the time of 11pm what we do what we eat  don’t order  this restatement  wrost food like freeze item completely",,,
Adrita Ganguly,3 years ago,"Worst food, worst portions, over crowded...naturally the waiters are over worked and provides bad service. The bald waiter Deepak and his friends were totally ignoring our table. Laugable portions, oily food, unclean oily dishes and …",,,
shanthi priya,4 months ago,"Based the reputation and farm of AB'S..Customers will come and enjoys the weekends..but We received spoiled food I.e zafrani chicken biriyani, same informed to staff and manager..he changed in my plate but manager behaved rude and he making …",,,
shruthi laya,2 months ago,"I felt that by paying 800-1000 per person, we can only eat normal fruits and food items ...food taste is very bad .. deserts are not tasty/not properly cooked ..",,,
Nirosha Eaturi,7 months ago,The food taste was absolutely worst. Not even a single starter found good. Nothing new and exciting in the menu. The main course doesn't have more veg options. Desserts were really not fresh and brownie was too dry to eat. The service was …,,,
Srikanth Ch V R,2 years ago,"Pathetic.... We have booked lunch at 11:45am and went to ABs at Gachibowli at 12:00.
The manager there said the booking got cancelled due to 15 minutes late. When we …",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
sai kiran Reddy,2 years ago,Poor service with poor food.No proper service and disappointed with the staffs behaviour.No proper attention and food was raw.Looting people in the name of quality food.given plastic glasses when asked and small bowl of sides.served mojitos without any ice and when asked for tissues they gave on serving plate.,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Shanti Swaroop,4 years ago,"Food : 2/5
Service :0/5
Ambience : 2/5 …",,,
srikanth cwa,3 months ago,"Manager vishal behavior is very rude, demanded extra money after dinner.. Created a lot non sense in front of guest, management is worst and we have everything to prove their worst behavior",,,
Arif Mohd,4 months ago,"Good place with different varieties, a bit crowded during Friday, Saturday and Sundays. …",,,
priya alluri,4 years ago,Just coming out of this place. Been here many a times but first time thought of nvr visiting this place again. I visited at 7:30 along with my husband n 2 kids. Few starters were not served to us..n had to wait for everything.. waited …,,,
Manish Sharma,2 months ago,Worst barbeque I've ever eaten. Unhinged place with a very bad ambiance. Not recommended.,,,
Manjusha Singh,6 months ago,This feedback is for ab's owner and senior concerned person because of whom this branch is running in gacchibowli..there is not much more fault of waiters ..so I went to ab's barbeque on 1st April for my daughter's bday celebration veg …,,,
Mahind S,2 years ago,"Worst Experience, No proper service.
Food was not worth for the amount paid.
Meat was not properly cooked. …",,,
Karthik vittala,6 months ago,"We did not have any food
We were wandering around to see what dishes that they had.
When we came to the dessert section we saw a baby nymph crawling around the …",,,
Shabana Fatima,7 months ago,"The quality of food and service has gone worse, I felt like I was in a roadside mess. The management didn't know how to manage, there was a large group who were eating and throwing food near the buffet arrangement. Women were being pushed …",,,
vamala priya,4 months ago,Worst experience food was spoiled(biryani) and manager was not good he is talking rudely with customers totally worst experience,,,
Suresh Kumar Subramanian,2 years ago,"Very bad service and quality of food is not good
Mock tail is also very bad",,,
shafi,2 years ago,Worst staff..one of worst places to visit...no service...no proper food,,,
Kpavan Kumar,3 months ago,"Very slow service , no one bothered to attend for almost 40 mins. Unacceptable",,,
sateeshkumar singatam,8 months ago,"Please have your lunch at home and go for this buffet..because

you dont get the starters on the table. …",Response from the owner,8 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(   ZLCT-349238  ) on …"
kosuri venkatesh,8 months ago,"I request everyone not to prefer this branch, i have visited AB's in lot of branches abd in lot of cities but here this branch is too worst. …",Response from the owner,8 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-348588) on …"
