Name,Review_Date,Review,Owner_Response,Response_Date,Response
Thiraviam Ram,7 months ago,"One of the worst experience I ever had in ABS. Fully crowded and they couldnt manage at all. No spoons, no refill, food ordered came once we finished, team is not at all ready to see you, no desert, no biriyani, no tissues. Is this normal …",,,
Firasat Ali,2 years ago,"Neither satisfied with the Taste nor by Service,
If you visit don't date to try chicken biryani, some kind of duck and rabbit here, …",Response from the owner,2 years ago,"Hi,

We regret the inconveniences you have faced and request you to share your …"
Ajinkya Hazare,8 months ago,This branch needs a renovation. The vibe is dull here and it's very unhygienic. We had a cockroach's visit on our table. It was too hot here.. It was like summer inside this restro and wonrer outside. The Wash Basin!!! Ohh my they are the …,Response from the owner,8 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(  ZLCT-351935   ) on …"
Phanindhar Reddy,2 months ago,"Slowly ABS is loosing its reputation, we visited Friday evening, no proper service and food was pathetic. The grill they are providing dnt have the coal fire. In entire buffet section only masala corn was good. Rest all or bakwas we informed the same to the floor manager. Very disappointed. Decided no more Abs again.",,,
Chaitanya Kranthi,a year ago,The food was not hot. We complained many times but they didn't identify that the stoves are not turned on. The items are regular. No much choice on desserts. Starters are not served timely. I don't visit it again.,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Ahmed Syed,a year ago,"Terrible service AVOID AT ANY COST!
Grilled meat was too spicy and tasteless. Service very slow. Ambience too chaotic. …",,,
Seetha Subhash,a year ago,"No tast.
Wast of money
It is not sutable for food lovers like me …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -ZLCT-309659() on …"
surya battula,3 years ago,Serving is very poor. Food not that much tasty. Staff behavior also not good.. Cakes are very worst. available normal ice cream scoops only. 700/- per head instead of going to this restaurant go to the small restaurant eat..,,,
sireesha_morampudi siree,7 months ago,"I smelled chemical smell there, we booked service that starts at 12 and we reached by 12.30 yet the chemical smell is present
Food is not tasty at all …",,,
Bhanu Karthik,3 years ago,"AB’s Jubilee Hills: Alert: 26/09/2021, me and my friends had dinner here and two of them immediately started vomiting sensation. Informed management about over burnt, undercooked bbq, stale smelling vegetarian they provided me diff dishes …",Response from the owner,3 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
