Name,Review_Date,Review,Owner_Response,Response_Date,Response
Leroy Colaco,3 months ago,"I visited Absolute Barbeque in Powai recently and had an extremely disappointing experience. During my meal, I took a serving of fruit jello, only to find that it was spoiled and had a terrible smell. This was unacceptable, especially at a …",,,
Rani Gawade,2 weeks ago,"Worst experience ever
The staff is not good not kind enough they don't inform u about their rules and timming before and if u exceed the time they turn off ur table ac and they won't …",,,
grace pavaskar,3 months ago,"The food is average, but their management needs to assess their cleanliness standards. Vegetarian and non vegetarian counters and food items placed next to each other. The same person who makes the chat is sauteeing seafood. Their feeding …",,,
Vicky Prajapati,a year ago,"Would not like to recommend this place to anyone. Me and my friend had visited for lunch a few days back and right after we finished our main course, I moved on to the dessert counter and there was an ice cream maker, scooping out the ice …",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Ankita Jain,2 years ago,The  service is slow. Jalebi  are not freshly made but are soggy and  white in color. Some of the items in menu like dahi bada served at the very last after the desserts. Overall the place is not good. …,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Abhishek Sharma,a year ago,"Food is tasteless and services is very bad and very slow.
They serving food in very strategically. The main course are very very tasteless. Only a chicken tikka is good.",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Pulkit Singhal,5 months ago,Worst food ever with such a brand name ....quality is low with watery chutney n mayonnaise served with starters...tandoori roti was not fresh...on complaining they brought other which was the same heated again ...,,,
Vrushali D Vaity,2 years ago,"Nope never going there again, it was mehh..
Since they give soo much variety the food quality and taste is not good it was honestly boring …",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Ashrut Arya,2 years ago,"Came here with all the things which we heard about this place, however, the place was a complete mess. There were cockroaches coming out on the table while the food was being served. When asked, our table was changed, but as soon as we …",Response from the owner,3 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Pramod Aryan,7 months ago,"The attendees were reluctant to serve starters, only 2 starters veg, and 2 non veg they served. It took them 30 min to serve the non veg barbecue with only limited option. For veg, it was even worse. Salad was smelly, and food was not as good. Not recommended",,,
Siddharth Rathore,3 years ago,"Food is tasty but their services are pathetic, unprofessional and too slow.
Literary, we had to make a complaint then after they started giving attention.
Ruined our mood and party. I am also uploading pic of empty sigree due to their delay.",,,
Roshan Sharma,6 months ago,"Disappointing Experience at Absolute Barbecue

Despite the promising menu offerings, the dishes lacked flavor and were …",,,
Diptii,4 months ago,Food is very average not great in taste or variety. Lot of noise.,,,
